,means,variances,residual_variances,highly_variable_rank,highly_variable_nbatches,highly_variable_intersection,highly_variable
AC015674.1,0.0007462449273230972,0.0007586061112219419,0.708972471219228,10464.0,95,False,False
TBKBP1,0.027821223165986335,0.03062243662819794,1.079793628302065,15154.0,221,False,True
TBX21,0.0003641794485538151,0.0003829267106949117,1.0504845056097378,7567.5,172,False,True
OSBPL7,0.025073730191221538,0.026681798947245896,1.3305990231946065,11756.0,326,False,True
MRPL10,0.02568334572106537,0.027620180582596136,1.2475325926180583,13315.0,287,False,True
LRRC46,0.0014134932211945484,0.0014502490441082737,1.0598343623302577,9483.5,160,False,False
SCRN2,0.025587953559916214,0.027688666270747897,1.1348403195370669,14768.5,256,False,True
SP6,0.00016395527697511458,0.0001698904901214898,0.41741310331502046,12604.0,55,False,False
AC018521.3,5.4154924819052994e-05,5.415201896774425e-05,0.17434811154644694,12918.5,18,False,False
AC018521.7,0.0004143596999916532,0.0004241249002034486,0.8370194157612805,10584.0,131,False,False
AC018521.5,0.013120396831390381,0.014434787034643307,1.2632358449262744,12064.0,261,False,True
SP2,0.042780403270361256,0.04984359682093623,1.3565346815368757,10965.0,341,False,True
SP2-AS1,0.03612381902517161,0.044928492791282096,1.4161962125573528,10160.0,344,False,True
AC018521.6,0.00017091095539224064,0.0001718754985764929,0.5026007362168913,13801.0,83,False,False
PNPO,0.022043041738045176,0.02363591197047192,1.4725528953653224,8467.0,282,False,True
AC018521.2,0.0005529764341615228,0.0005626076142005071,0.7092907667387699,10755.0,96,False,False
PRR15L,0.0005266442230109741,0.0005452468383313649,0.5245874525511354,11171.5,60,False,False
CDK5RAP3,0.0807926889857826,0.09093306839500698,1.3596252407551161,10675.5,330,False,True
AC018521.4,0.001000127189548199,0.001023969152528376,0.9561768568556278,11205.0,149,False,False
COPZ2,0.0045818047401954744,0.004909591833973418,2.1898859893787654,4345.0,334,False,True
AC004477.1,0.008429288573211496,0.008873953947457816,1.2000440318905423,11864.5,246,False,True
NFE2L1,0.1128777430214672,0.1423504411899055,1.5815960618339848,8444.0,315,False,True
AC004477.2,4.6205578056623194e-05,4.7197134895632786e-05,0.145486888697186,14175.0,17,False,False
AC004477.3,0.0012058165370260698,0.0012321858693656847,1.0947787980965493,8985.5,170,False,True
CBX1,0.10785276219926627,0.14667015231537103,1.3279800588648518,12507.0,339,False,True
SNX11,0.026661612207016887,0.029052023981294202,1.425452575512258,9936.0,336,False,True
SKAP1,0.01735988282662872,0.05577385107496437,2.70304688919664,4522.0,307,False,True
SKAP1-AS1,0.0021065768920438964,0.0025304115398626344,1.4627056534511593,7146.0,256,False,True
THRA1/BTR,0.000371631961143593,0.0004321078345785182,0.7268932719470859,11811.0,117,False,False
AC036222.2,3.4778392085630363e-06,4.4714976800940515e-06,0.009876141314074544,,0,False,False
AC036222.1,9.439849280385385e-05,9.438962862440333e-05,0.332916259733602,13738.0,43,False,False
HOXB1,4.968341726518623e-07,4.968341726518624e-07,0.004077303149955361,6867.0,1,False,False
HOXB2,7.999030179694984e-05,8.197128076530932e-05,0.40829459521691547,10925.0,78,False,False
HOXB-AS1,0.00017886030215467043,0.00018876508838496834,0.8380516099172375,6805.0,140,False,False
HOXB3,0.00018680964891710025,0.00020764188948713564,0.7805778349017409,9013.5,134,False,False
